,Authors,Quotes,Likes
0,Oscar Wilde,“Be yourself; everyone else is already taken.”,160737
1,Marilyn Monroe,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",157301
2,Albert Einstein,“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,139689
3,Frank Zappa,"“So many books, so little time.”",137648
4,Marcus Tullius Cicero,“A room without books is like a body without a soul.”,127355
5,Bernard M. Baruch,"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",124911
6,William W. Purkey,"“You've gotta dance like there's nobody watching,",123016
7,Dr. Seuss,“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,119954
8,Mae West,"“You only live once, but if you do it right, once is enough.”",112737
9,Mahatma Gandhi,“Be the change that you wish to see in the world.”,110413
10,Robert Frost,“In three words I can sum up everything I've learned about life: it goes on.”,104625
11,"J.K. Rowling,","“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”",99016
12,Albert Camus,“Don’t walk in front of me… I may not follow,89025
13,Mark Twain,"“If you tell the truth, you don't have to remember anything.”",87562
14,"C.S. Lewis,","“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”",85905
15,Maya Angelou,"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",83435
16,Elbert Hubbard,“A friend is someone who knows all about you and still loves you.”,80970
17,Oscar Wilde,"“To live is the rarest thing in the world. Most people exist, that is all.”",78432
18,Oscar Wilde,“Always forgive your enemies; nothing annoys them so much.”,78411
19,Mahatma Gandhi,“Live as if you were to die tomorrow. Learn as if you were to live forever.”,75289
20,"Martin Luther King Jr.,",“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,75214
21,"Stephen Chbosky,",“We accept the love we think we deserve.”,70518
22,"Friedrich Nietzsche,","“Without music, life would be a mistake.”",70367
23,"Oscar Wilde,",“I am so clever that sometimes I don't understand a single word of what I am saying.”,69267
24,Ralph Waldo Emerson,“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,67193
25,Rob Siltanen,"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",66424
26,Narcotics Anonymous,"“Insanity is doing the same thing, over and over again, but expecting different results.”",63104
27,Marilyn Monroe,"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",60746
28,"H. Jackson Brown Jr.,",“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,58377
29,"Andre Gide,",“It is better to be hated for what you are than to be loved for what you are not.”,58126
